anio_mes,id_tienda,categoria,presupuesto_venta,presupuesto_unidades,escenario
2024-01,T018,Moda,374954922,1086,Base
2024-01,T018,Muebles,354582806,287,Base
2024-01,T018,Tecnologia,296937974,763,Base
2024-01,T019,Alimentos,250744906,304,Base
2024-01,T019,Belleza,406210588,230,Base
2024-01,T019,Deportes,140836426,322,Base
2024-01,T019,Electrohogar,290313465,1004,Base
2024-01,T019,Jugueteria,358093977,979,Base
2024-01,T019,Moda,275448684,407,Base
2024-01,T019,Muebles,314900253,201,Base
2024-01,T019,Tecnologia,249030985,1225,Base
2024-01,T020,Alimentos,116260111,143,Base
2024-01,T020,Belleza,286294066,961,Base
2024-01,T020,Deportes,47594801,766,Base
2024-01,T020,Electrohogar,350252529,536,Base
2024-01,T020,Jugueteria,102372493,1380,Base
2024-01,T020,Moda,99821861,991,Base
2024-01,T020,Muebles,55358036,370,Base
2024-01,T020,Tecnologia,76038245,1160,Base
2024-01,T021,Alimentos,320195686,652,Base
2024-01,T021,Belleza,102255136,322,Base
2024-01,T021,Deportes,159101878,948,Base
2024-01,T021,Electrohogar,52731007,176,Base
2024-01,T021,Jugueteria,410610566,1291,Base
2024-01,T021,Moda,198723433,1368,Base
2024-01,T021,Muebles,205968198,434,Base
2024-01,T021,Tecnologia,98576152,1174,Base
2024-01,T022,Alimentos,210852040,212,Base
2024-01,T022,Belleza,288410049,146,Base
2024-01,T022,Deportes,387009577,951,Base
2024-01,T022,Electrohogar,82409647,258,Base
2024-01,T022,Jugueteria,55292439,1365,Base
2024-01,T022,Moda,277370298,439,Base
2024-01,T022,Muebles,281686815,1140,Base
2024-01,T022,Tecnologia,88900511,903,Base
2024-01,T023,Alimentos,314342285,278,Base
2024-01,T023,Belleza,375331554,357,Base
2024-01,T023,Deportes,212339984,1236,Base
2024-01,T023,Electrohogar,242885221,1096,Base
2024-01,T023,Jugueteria,217017503,576,Base
2024-01,T023,Moda,157168685,323,Base
2024-01,T023,Muebles,70976324,857,Base
2024-01,T023,Tecnologia,115726050,753,Base
2024-01,T024,Alimentos,56314403,773,Base
2024-01,T024,Belleza,122807574,1398,Base
2024-01,T024,Deportes,248002826,1138,Base
2024-01,T024,Electrohogar,339815779,611,Base
2024-01,T024,Jugueteria,145551417,1308,Base
2024-01,T024,Moda,401014024,334,Base
2024-01,T024,Muebles,211671473,191,Base
2024-01,T024,Tecnologia,86215027,689,Base
2024-01,T025,Alimentos,68955692,127,Base
2024-01,T025,Belleza,364851038,585,Base
2024-01,T025,Deportes,353626325,978,Base
2024-01,T025,Electrohogar,156609022,669,Base
2024-01,T025,Jugueteria,205712417,1380,Base
2024-01,T025,Moda,46915998,1309,Base
2024-01,T025,Muebles,199032857,980,Base
2024-01,T025,Tecnologia,79236313,410,Base
2024-01,T026,Alimentos,263175893,332,Base
2024-01,T026,Belleza,362265155,1162,Base
2024-01,T026,Deportes,268506548,209,Base
2024-01,T026,Electrohogar,333503827,1013,Base
2024-01,T026,Jugueteria,99515969,582,Base
2024-01,T026,Moda,189592988,799,Base
2024-01,T026,Muebles,385802858,518,Base
2024-01,T026,Tecnologia,74158376,808,Base
2024-01,T027,Alimentos,249561952,854,Base
2024-01,T027,Belleza,360114063,319,Base
2024-01,T027,Deportes,289753818,749,Base
2024-01,T027,Electrohogar,296146580,403,Base
2024-01,T027,Jugueteria,417822949,832,Base
2024-01,T027,Moda,179062992,384,Base
2024-01,T027,Muebles,327727064,351,Base
2024-01,T027,Tecnologia,51602140,158,Base
2024-01,T028,Alimentos,58024875,189,Base
2024-01,T028,Belleza,99397727,899,Base
2024-01,T028,Deportes,224592526,723,Base
2024-01,T028,Electrohogar,89401135,1169,Base
2024-01,T028,Jugueteria,81950469,317,Base
2024-01,T028,Moda,314466882,853,Base
2024-01,T028,Muebles,83549844,986,Base
2024-01,T028,Tecnologia,405711242,251,Base
2024-01,T029,Alimentos,304253076,1159,Base
2024-01,T029,Belleza,147923334,425,Base
2024-01,T029,Deportes,293506019,411,Base
2024-01,T029,Electrohogar,191731311,635,Base
2024-01,T029,Jugueteria,177503283,868,Base
2024-01,T029,Moda,289081169,1120,Base
2024-01,T029,Muebles,369846216,409,Base
2024-01,T029,Tecnologia,248644527,774,Base
2024-01,T030,Alimentos,209431099,1266,Base
2024-01,T030,Belleza,240350590,390,Base
2024-01,T030,Deportes,55154605,704,Base
2024-01,T030,Electrohogar,290985825,1130,Base
2024-01,T030,Jugueteria,238420393,734,Base
2024-01,T030,Moda,101010413,1302,Base
2024-01,T030,Muebles,170958142,1371,Base
2024-01,T030,Tecnologia,150153116,157,Base
2024-01,T031,Alimentos,412416069,468,Base
2024-01,T031,Belleza,155174251,1127,Base
2024-01,T031,Deportes,172171347,1037,Base
2024-01,T031,Electrohogar,161950403,504,Base
2024-01,T031,Jugueteria,190465495,1242,Base
2024-01,T031,Moda,146703123,349,Base
2024-01,T031,Muebles,77106736,753,Base
2024-01,T031,Tecnologia,374316980,142,Base
2024-01,T032,Alimentos,347070980,510,Base
2024-01,T032,Belleza,393024052,341,Base
2024-01,T032,Deportes,271978051,577,Base
2024-01,T032,Electrohogar,87174466,316,Base
2024-01,T032,Jugueteria,320509049,1274,Base
2024-01,T032,Moda,295869504,132,Base
2024-01,T032,Muebles,326951815,198,Base
2024-01,T032,Tecnologia,216254612,1292,Base
2024-01,T033,Alimentos,351057277,1140,Base
2024-01,T033,Belleza,324504566,1006,Base
2024-01,T033,Deportes,122483391,884,Base
2024-01,T033,Electrohogar,215330216,331,Base
2024-01,T033,Jugueteria,191534308,578,Base
2024-01,T033,Moda,359577249,905,Base
2024-01,T033,Muebles,73560488,1093,Base
2024-01,T033,Tecnologia,81282665,688,Base
2024-01,T034,Alimentos,57387723,404,Base
2024-01,T034,Belleza,168521398,729,Base
2024-01,T034,Deportes,242269125,311,Base
2024-01,T034,Electrohogar,152576387,358,Base
2024-01,T034,Jugueteria,266078518,901,Base
2024-01,T034,Moda,356806367,223,Base
2024-01,T034,Muebles,185066157,390,Base
2024-01,T034,Tecnologia,248008055,1010,Base
2024-01,T035,Alimentos,378764826,288,Base
2024-01,T035,Belleza,362612416,316,Base
2024-01,T035,Deportes,412596297,938,Base
2024-01,T035,Electrohogar,383428062,658,Base
2024-01,T035,Jugueteria,402747981,890,Base
2024-01,T035,Moda,58049457,1330,Base
2024-01,T035,Muebles,253707136,368,Base
2024-01,T035,Tecnologia,121827924,1076,Base
2024-01,T036,Alimentos,309877171,308,Base
2024-01,T036,Belleza,271606859,848,Base
2024-01,T036,Deportes,361524461,962,Base
2024-01,T036,Electrohogar,70693752,440,Base
2024-01,T036,Jugueteria,347094730,1101,Base
2024-01,T036,Moda,325122709,376,Base
2024-01,T036,Muebles,399068411,777,Base
2024-01,T036,Tecnologia,322957774,462,Base
2024-01,T037,Alimentos,225146273,1078,Base
2024-01,T037,Belleza,419406210,1323,Base
2024-01,T037,Deportes,315401642,1187,Base
2024-01,T037,Electrohogar,295301265,717,Base
2024-01,T037,Jugueteria,265139623,1077,Base
2024-01,T037,Moda,69348161,348,Base
2024-01,T037,Muebles,137042891,457,Base
2024-01,T037,Tecnologia,60304286,261,Base
2024-01,T038,Alimentos,297217944,578,Base
2024-01,T038,Belleza,357935248,1167,Base
2024-01,T038,Deportes,414177499,671,Base
2024-01,T038,Electrohogar,370758097,197,Base
2024-01,T038,Jugueteria,46661528,632,Base
2024-01,T038,Moda,253265287,583,Base
2024-01,T038,Muebles,188367058,1239,Base
2024-01,T038,Tecnologia,155255976,1146,Base
2024-01,T039,Alimentos,253799940,1266,Base
2024-01,T039,Belleza,109152318,1140,Base
2024-01,T039,Deportes,418824255,473,Base
2024-01,T039,Electrohogar,382299819,1220,Base
2024-01,T039,Jugueteria,268856299,524,Base
2024-01,T039,Moda,194614677,298,Base
2024-01,T039,Muebles,73338820,840,Base
2024-01,T039,Tecnologia,169630956,882,Base
2024-01,T040,Alimentos,172192796,958,Base
2024-01,T040,Belleza,228332752,458,Base
2024-01,T040,Deportes,153983588,138,Base
2024-01,T040,Electrohogar,66657046,754,Base
2024-01,T040,Jugueteria,305737577,983,Base
2024-01,T040,Moda,274667420,290,Base
2024-01,T040,Muebles,245210002,470,Base
2024-01,T040,Tecnologia,332993218,490,Base
2024-01,T041,Alimentos,167733655,567,Base
2024-01,T041,Belleza,95500657,804,Base
2024-01,T041,Deportes,289314626,1301,Base
2024-01,T041,Electrohogar,69267492,725,Base
2024-01,T041,Jugueteria,305979434,878,Base
2024-01,T041,Moda,260639558,1127,Base
2024-01,T041,Muebles,305037120,1331,Base
2024-01,T041,Tecnologia,386786384,257,Base
2024-01,T042,Alimentos,264702175,1196,Base
2024-01,T042,Belleza,241206321,1104,Base
2024-01,T042,Deportes,60558483,886,Base
2024-01,T042,Electrohogar,119845757,331,Base
2024-01,T042,Jugueteria,362449408,808,Base
2024-01,T042,Moda,278730156,907,Base
2024-01,T042,Muebles,73313683,686,Base
2024-01,T042,Tecnologia,348715768,124,Base
2024-01,T043,Alimentos,178656247,138,Base
2024-01,T043,Belleza,365274059,791,Base
2024-01,T043,Deportes,141729074,366,Base
2024-01,T043,Electrohogar,316459563,860,Base
2024-01,T043,Jugueteria,352869298,1150,Base
2024-01,T043,Moda,326175042,1191,Base
2024-01,T043,Muebles,392801903,1030,Base
2024-01,T043,Tecnologia,161830171,541,Base
2024-01,T044,Alimentos,391606923,129,Base
2024-01,T044,Belleza,176490819,1317,Base
2024-01,T044,Deportes,205215475,354,Base
2024-01,T044,Electrohogar,54632360,504,Base
2024-01,T044,Jugueteria,67821033,1189,Base
2024-01,T044,Moda,63334775,1095,Base
2024-01,T044,Muebles,205939907,866,Base
2024-01,T044,Tecnologia,320796174,1108,Base
2024-01,T045,Alimentos,144667876,821,Base
2024-01,T045,Belleza,60720083,738,Base
2024-01,T045,Deportes,166896957,1211,Base
2024-01,T045,Electrohogar,144929855,315,Base
2024-01,T045,Jugueteria,97928836,136,Base
2024-01,T045,Moda,308129923,741,Base
2024-01,T045,Muebles,263133369,287,Base
2024-01,T045,Tecnologia,127715850,648,Base
2024-01,T046,Alimentos,355995096,590,Base
2024-01,T046,Belleza,236725150,994,Base
2024-01,T046,Deportes,79742885,913,Base
2024-01,T046,Electrohogar,133735516,499,Base
2024-01,T046,Jugueteria,339093789,678,Base
2024-01,T046,Moda,223545165,334,Base
2024-01,T046,Muebles,412683252,1160,Base
2024-01,T046,Tecnologia,183375951,537,Base
2024-01,T047,Alimentos,158420949,364,Base
2024-01,T047,Belleza,350097022,917,Base
2024-01,T047,Deportes,232560502,719,Base
2024-01,T047,Electrohogar,410453498,1161,Base
2024-01,T047,Jugueteria,387348224,310,Base
2024-01,T047,Moda,403399757,426,Base
2024-01,T047,Muebles,231917642,651,Base
2024-01,T047,Tecnologia,286141211,1179,Base
2024-01,T048,Alimentos,272823300,1291,Base
2024-01,T048,Belleza,106296396,442,Base
2024-01,T048,Deportes,107150535,1277,Base
2024-01,T048,Electrohogar,281918882,1081,Base
2024-01,T048,Jugueteria,92859190,1310,Base
2024-01,T048,Moda,260697656,353,Base
2024-01,T048,Muebles,385142874,602,Base
2024-01,T048,Tecnologia,279843864,216,Base
2024-01,T049,Alimentos,230019048,858,Base
2024-01,T049,Belleza,278102629,288,Base
2024-01,T049,Deportes,73011118,513,Base
2024-01,T049,Electrohogar,381548065,1046,Base
2024-01,T049,Jugueteria,401923428,1286,Base
2024-01,T049,Moda,400051105,1293,Base
2024-01,T049,Muebles,256525233,243,Base
2024-01,T049,Tecnologia,135778322,857,Base
2024-01,T050,Alimentos,107888739,1200,Base
2024-01,T050,Belleza,378631777,380,Base
2024-01,T050,Deportes,122106376,663,Base
2024-01,T050,Electrohogar,387317092,276,Base
2024-01,T050,Jugueteria,355132737,541,Base
2024-01,T050,Moda,161086540,141,Base
2024-01,T050,Muebles,171190996,347,Base
2024-01,T050,Tecnologia,118708431,971,Base
2024-01,T051,Alimentos,105554276,1027,Base
2024-01,T051,Belleza,146194716,122,Base
2024-01,T051,Deportes,76035162,673,Base
2024-01,T051,Electrohogar,290581386,710,Base
2024-01,T051,Jugueteria,107472505,1019,Base
2024-01,T051,Moda,193471698,593,Base
2024-01,T051,Muebles,145692498,157,Base
2024-01,T051,Tecnologia,219524343,487,Base
2024-01,T052,Alimentos,143801060,745,Base
2024-01,T052,Belleza,393439717,769,Base
2024-01,T052,Deportes,234549590,393,Base
2024-01,T052,Electrohogar,378829587,1135,Base
2024-01,T052,Jugueteria,139603020,128,Base
2024-01,T052,Moda,258630386,579,Base
2024-01,T052,Muebles,218695143,818,Base
2024-01,T052,Tecnologia,69440085,414,Base
2024-01,T053,Alimentos,189759452,266,Base
2024-01,T053,Belleza,241657119,587,Base
2024-01,T053,Deportes,411005635,661,Base
2024-01,T053,Electrohogar,97631466,1217,Base
2024-01,T053,Jugueteria,292424314,996,Base
2024-01,T053,Moda,306327758,671,Base
2024-01,T053,Muebles,267153319,1057,Base
2024-01,T053,Tecnologia,220536556,1380,Base
2024-01,T054,Alimentos,261675193,415,Base
2024-01,T054,Belleza,102602043,362,Base
2024-01,T054,Deportes,336237672,1248,Base
2024-01,T054,Electrohogar,109714976,418,Base
2024-01,T054,Jugueteria,303422754,1140,Base
2024-01,T054,Moda,84927035,1315,Base
2024-01,T054,Muebles,399020720,1301,Base
2024-01,T054,Tecnologia,257540952,580,Base
2024-01,T055,Alimentos,248811418,312,Base
2024-01,T055,Belleza,277066286,1051,Base
2024-01,T055,Deportes,231560686,1252,Base
2024-01,T055,Electrohogar,240262789,1328,Base
2024-01,T055,Jugueteria,369936936,167,Base
2024-01,T055,Moda,67398991,176,Base
2024-01,T055,Muebles,258089282,394,Base
2024-01,T055,Tecnologia,142750913,391,Base
2024-01,T056,Alimentos,245034634,877,Base
2024-01,T056,Belleza,235696275,1178,Base
2024-01,T056,Deportes,317855544,1168,Base
2024-01,T056,Electrohogar,72651298,1349,Base
2024-01,T056,Jugueteria,186975939,214,Base
2024-01,T056,Moda,335994509,735,Base
2024-01,T056,Muebles,180853756,862,Base
2024-01,T056,Tecnologia,180931856,1096,Base
2024-01,T057,Alimentos,404299272,1346,Base
2024-01,T057,Belleza,396343863,616,Base
2024-01,T057,Deportes,104447930,423,Base
2024-01,T057,Electrohogar,362798324,806,Base
2024-01,T057,Jugueteria,216123639,690,Base
2024-01,T057,Moda,148442067,324,Base
2024-01,T057,Muebles,108082853,1051,Base
2024-01,T057,Tecnologia,322288853,566,Base
2024-01,T058,Alimentos,65186953,158,Base
2024-01,T058,Belleza,64914350,1091,Base
2024-01,T058,Deportes,419252074,762,Base
2024-01,T058,Electrohogar,303951505,511,Base
2024-01,T058,Jugueteria,169743075,820,Base
2024-01,T058,Moda,127567736,1024,Base
2024-01,T058,Muebles,213277604,1094,Base
2024-01,T058,Tecnologia,73749445,1161,Base
2024-01,T059,Alimentos,340590468,276,Base
2024-01,T059,Belleza,69628958,153,Base
2024-01,T059,Deportes,142372745,638,Base
2024-01,T059,Electrohogar,206553627,544,Base
2024-01,T059,Jugueteria,333858678,604,Base
2024-01,T059,Moda,399060436,255,Base
2024-01,T059,Muebles,254680568,1052,Base
2024-01,T059,Tecnologia,220746362,209,Base
2024-01,T060,Alimentos,72773328,616,Base
2024-01,T060,Belleza,403664099,155,Base
2024-01,T060,Deportes,90226741,323,Base
2024-01,T060,Electrohogar,84179591,621,Base
2024-01,T060,Jugueteria,182670947,479,Base
2024-01,T060,Moda,50658767,1254,Base
2024-01,T060,Muebles,300744405,1167,Base
2024-01,T060,Tecnologia,380346183,241,Base
2024-02,T001,Alimentos,273112190,1200,Base
2024-02,T001,Belleza,172836320,488,Base
2024-02,T001,Deportes,61524295,1091,Base
2024-02,T001,Electrohogar,388699299,907,Base
2024-02,T001,Jugueteria,354488951,902,Base
2024-02,T001,Moda,146702850,318,Base
2024-02,T001,Muebles,215334473,1349,Base
2024-02,T001,Tecnologia,86980775,1194,Base
2024-02,T002,Alimentos,209924032,150,Base
2024-02,T002,Belleza,96130985,570,Base
2024-02,T002,Deportes,72451848,1253,Base
2024-02,T002,Electrohogar,88289827,1394,Base
2024-02,T002,Jugueteria,293092398,1284,Base
2024-02,T002,Moda,246202544,162,Base
2024-02,T002,Muebles,366374872,686,Base
2024-02,T002,Tecnologia,65016424,286,Base
2024-02,T003,Alimentos,92075846,595,Base
2024-02,T003,Belleza,169631722,174,Base
2024-02,T003,Deportes,346831091,738,Base
2024-02,T003,Electrohogar,310811305,820,Base
2024-02,T003,Jugueteria,270150943,888,Base
2024-02,T003,Moda,361564415,332,Base
2024-02,T003,Muebles,340542903,449,Base
2024-02,T003,Tecnologia,253783490,822,Base
2024-02,T004,Alimentos,123035294,757,Base
2024-02,T004,Belleza,300586670,602,Base
2024-02,T004,Deportes,181676237,665,Base
2024-02,T004,Electrohogar,247025482,717,Base
2024-02,T004,Jugueteria,190505973,841,Base
2024-02,T004,Moda,90633268,1251,Base
2024-02,T004,Muebles,213187072,1284,Base
2024-02,T004,Tecnologia,276840943,1373,Base
2024-02,T005,Alimentos,82716834,891,Base
2024-02,T005,Belleza,120155645,1129,Base
2024-02,T005,Deportes,104262567,365,Base
2024-02,T005,Electrohogar,92412454,202,Base
2024-02,T005,Jugueteria,298629923,1142,Base
2024-02,T005,Moda,119362336,1291,Base
2024-02,T005,Muebles,48760222,233,Base
2024-02,T005,Tecnologia,401567719,244,Base
2024-02,T006,Alimentos,235761839,792,Base
2024-02,T006,Belleza,161305710,1189,Base
2024-02,T006,Deportes,351381882,901,Base
2024-02,T006,Electrohogar,200897877,822,Base
2024-02,T006,Jugueteria,126534836,1316,Base
2024-02,T006,Moda,384647574,1292,Base
2024-02,T006,Muebles,350106972,880,Base
2024-02,T006,Tecnologia,288125610,567,Base
2024-02,T007,Alimentos,46312522,1129,Base
2024-02,T007,Belleza,419171754,1264,Base
2024-02,T007,Deportes,334299225,1113,Base
2024-02,T007,Electrohogar,353141948,996,Base
2024-02,T007,Jugueteria,107270227,702,Base
2024-02,T007,Moda,284097230,301,Base
2024-02,T007,Muebles,285285048,604,Base
2024-02,T007,Tecnologia,278668321,1247,Base
2024-02,T008,Alimentos,335243979,724,Base
2024-02,T008,Belleza,298516177,1230,Base
2024-02,T008,Deportes,363108028,447,Base
2024-02,T008,Electrohogar,179323695,1152,Base
2024-02,T008,Jugueteria,408391631,1118,Base
2024-02,T008,Moda,120281813,939,Base
2024-02,T008,Muebles,177146706,149,Base
2024-02,T008,Tecnologia,272393169,688,Base
2024-02,T009,Alimentos,219007345,1155,Base
2024-02,T009,Belleza,235142623,1282,Base
2024-02,T009,Deportes,115444094,1333,Base
2024-02,T009,Electrohogar,259711483,1124,Base
2024-02,T009,Jugueteria,199854765,555,Base
2024-02,T009,Moda,193089992,570,Base
2024-02,T009,Muebles,198314394,1220,Base
2024-02,T009,Tecnologia,310014070,1159,Base
2024-02,T010,Alimentos,286184006,457,Base
2024-02,T010,Belleza,418179075,388,Base
2024-02,T010,Deportes,380458317,951,Base
2024-02,T010,Electrohogar,417420649,857,Base
2024-02,T010,Jugueteria,106241840,325,Base
2024-02,T010,Moda,91865609,891,Base
2024-02,T010,Muebles,382255105,425,Base
2024-02,T010,Tecnologia,342822186,370,Base
2024-02,T011,Alimentos,413478986,968,Base
2024-02,T011,Belleza,379192755,449,Base
2024-02,T011,Deportes,65652931,353,Base
2024-02,T011,Electrohogar,300792852,1100,Base
2024-02,T011,Jugueteria,312420575,796,Base
2024-02,T011,Moda,411890952,702,Base
2024-02,T011,Muebles,288369958,260,Base
2024-02,T011,Tecnologia,60318753,1364,Base
2024-02,T012,Alimentos,181250951,1065,Base
2024-02,T012,Belleza,111712754,678,Base
2024-02,T012,Deportes,202044532,999,Base
2024-02,T012,Electrohogar,92082193,765,Base
2024-02,T012,Jugueteria,361097778,191,Base
2024-02,T012,Moda,207564844,361,Base
2024-02,T012,Muebles,397797053,951,Base
2024-02,T012,Tecnologia,133132581,535,Base
2024-02,T013,Alimentos,48466359,583,Base
2024-02,T013,Belleza,91055511,1081,Base
2024-02,T013,Deportes,373301723,904,Base
2024-02,T013,Electrohogar,381417869,914,Base
2024-02,T013,Jugueteria,373191501,357,Base
2024-02,T013,Moda,163167699,433,Base
2024-02,T013,Muebles,212764660,311,Base
2024-02,T013,Tecnologia,328790622,865,Base
2024-02,T014,Alimentos,248503605,1338,Base
2024-02,T014,Belleza,346520027,725,Base
2024-02,T014,Deportes,176744703,1225,Base
2024-02,T014,Electrohogar,245790446,488,Base
2024-02,T014,Jugueteria,70496147,777,Base
2024-02,T014,Moda,176805398,406,Base
2024-02,T014,Muebles,255719008,139,Base
2024-02,T014,Tecnologia,366055771,283,Base
2024-02,T015,Alimentos,227497650,123,Base
2024-02,T015,Belleza,257684146,1020,Base
2024-02,T015,Deportes,179573251,294,Base
2024-02,T015,Electrohogar,144810160,470,Base
2024-02,T015,Jugueteria,258530039,905,Base
2024-02,T015,Moda,386627422,959,Base
2024-02,T015,Muebles,264634540,1342,Base
2024-02,T015,Tecnologia,284261269,796,Base
2024-02,T016,Alimentos,59039759,713,Base
2024-02,T016,Belleza,99338306,1159,Base
2024-02,T016,Deportes,391407910,1246,Base
2024-02,T016,Electrohogar,72440848,1136,Base
