id_cliente,nombre_cliente,segmento,ciudad,region,departamento,genero,rango_edad,fecha_alta,estado_cliente
C00086,Cliente 00086,Corporativo,Cartagena,Caribe,Bolivar,No informado,46-55,2024-12-09,Inactivo
C00087,Cliente 00087,Corporativo,Cali,Occidente,Valle del Cauca,No informado,46-55,2025-06-30,Activo
C00088,Cliente 00088,Educacion,Ibague,Centro,Tolima,No informado,36-45,2020-07-12,Activo
C00089,Cliente 00089,Gobierno,Medellin,Antioquia,Antioquia,F,26-35,2019-11-27,Activo
C00090,Cliente 00090,Pyme,Bogota,Centro,Cundinamarca,M,18-25,2025-12-21,Activo
C00091,Cliente 00091,Hogar,Ibague,Centro,Tolima,M,36-45,2022-06-10,Activo
C00092,Cliente 00092,Pyme,Manizales,Eje Cafetero,Caldas,F,46-55,2025-01-16,Inactivo
C00093,Cliente 00093,Educacion,Medellin,Antioquia,Antioquia,M,56+,2022-06-21,Activo
C00094,Cliente 00094,Educacion,Barranquilla,Caribe,Atlantico,No informado,26-35,2025-04-24,Activo
C00095,Cliente 00095,Corporativo,Bogota,Centro,Cundinamarca,F,56+,2024-01-05,Activo
C00096,Cliente 00096,Corporativo,Cali,Occidente,Valle del Cauca,F,56+,2020-11-20,Activo
C00097,Cliente 00097,Hogar,Cartagena,Caribe,Bolivar,M,36-45,2025-05-20,Activo
C00098,Cliente 00098,Gobierno,Barranquilla,Caribe,Atlantico,M,18-25,2025-10-23,Activo
C00099,Cliente 00099,Pyme,Medellin,Antioquia,Antioquia,F,56+,2023-01-05,Inactivo
C00100,Cliente 00100,Gobierno,Pasto,Sur,Narino,M,46-55,2023-04-13,Activo
C00101,Cliente 00101,Hogar,Cali,Occidente,Valle del Cauca,M,36-45,2025-05-12,Inactivo
C00102,Cliente 00102,Educacion,Bucaramanga,Oriente,Santander,No informado,26-35,2024-08-18,Activo
C00103,Cliente 00103,Educacion,Cali,Occidente,Valle del Cauca,No informado,46-55,2019-07-28,Activo
C00104,Cliente 00104,Gobierno,Cali,Occidente,Valle del Cauca,No informado,26-35,2023-04-21,Activo
C00105,Cliente 00105,Gobierno,Manizales,Eje Cafetero,Caldas,F,36-45,2023-08-15,Activo
C00106,Cliente 00106,Educacion,Pereira,Eje Cafetero,Risaralda,No informado,26-35,2019-06-30,Activo
C00107,Cliente 00107,Pyme,Ibague,Centro,Tolima,M,46-55,2023-06-07,Activo
C00108,Cliente 00108,Hogar,Santa Marta,Caribe,Magdalena,F,26-35,2025-02-26,Activo
C00109,Cliente 00109,Gobierno,Santa Marta,Caribe,Magdalena,No informado,26-35,2025-12-26,Activo
C00110,Cliente 00110,Corporativo,Cali,Occidente,Valle del Cauca,M,46-55,2020-09-26,Activo
C00111,Cliente 00111,Gobierno,Cali,Occidente,Valle del Cauca,M,56+,2025-01-28,Activo
C00112,Cliente 00112,Hogar,Medellin,Antioquia,Antioquia,F,46-55,2020-08-08,Activo
C00113,Cliente 00113,Corporativo,Villavicencio,Llanos,Meta,F,56+,2019-03-06,Activo
C00114,Cliente 00114,Educacion,Manizales,Eje Cafetero,Caldas,No informado,26-35,2019-01-12,Activo
C00115,Cliente 00115,Educacion,Cali,Occidente,Valle del Cauca,F,36-45,2021-12-05,Activo
C00116,Cliente 00116,Pyme,Cali,Occidente,Valle del Cauca,No informado,36-45,2022-02-06,Activo
C00117,Cliente 00117,Educacion,Santa Marta,Caribe,Magdalena,No informado,36-45,2020-04-04,Activo
C00118,Cliente 00118,Pyme,Bucaramanga,Oriente,Santander,No informado,36-45,2021-12-27,Activo
C00119,Cliente 00119,Educacion,Bogota,Centro,Cundinamarca,M,26-35,2021-07-12,Activo
C00120,Cliente 00120,Gobierno,Manizales,Eje Cafetero,Caldas,M,56+,2019-10-04,Activo
C00121,Cliente 00121,Pyme,Manizales,Eje Cafetero,Caldas,F,18-25,2021-10-27,Activo
C00122,Cliente 00122,Gobierno,Pereira,Eje Cafetero,Risaralda,M,26-35,2021-01-18,Activo
C00123,Cliente 00123,Corporativo,Cartagena,Caribe,Bolivar,No informado,26-35,2019-02-07,Activo
C00124,Cliente 00124,Hogar,Villavicencio,Llanos,Meta,M,36-45,2020-02-17,Activo
C00125,Cliente 00125,Hogar,Santa Marta,Caribe,Magdalena,No informado,56+,2023-06-26,Activo
C00126,Cliente 00126,Educacion,Bogota,Centro,Cundinamarca,F,36-45,2022-02-11,Activo
C00127,Cliente 00127,Gobierno,Bogota,Centro,Cundinamarca,No informado,26-35,2022-07-14,Activo
C00128,Cliente 00128,Educacion,Bucaramanga,Oriente,Santander,F,18-25,2025-01-28,Activo
C00129,Cliente 00129,Pyme,Villavicencio,Llanos,Meta,No informado,46-55,2019-03-12,Activo
C00130,Cliente 00130,Corporativo,Cartagena,Caribe,Bolivar,F,26-35,2021-03-31,Activo
C00131,Cliente 00131,Pyme,Villavicencio,Llanos,Meta,M,56+,2022-04-10,Activo
C00132,Cliente 00132,Hogar,Barranquilla,Caribe,Atlantico,M,46-55,2023-01-20,Activo
C00133,Cliente 00133,Gobierno,Cartagena,Caribe,Bolivar,M,36-45,2019-03-18,Activo
C00134,Cliente 00134,Pyme,Pereira,Eje Cafetero,Risaralda,No informado,18-25,2023-12-02,Activo
C00135,Cliente 00135,Gobierno,Cartagena,Caribe,Bolivar,No informado,18-25,2022-05-14,Activo
C00136,Cliente 00136,Pyme,Cartagena,Caribe,Bolivar,No informado,36-45,2022-07-13,Activo
C00137,Cliente 00137,Educacion,Ibague,Centro,Tolima,F,46-55,2024-12-03,Activo
C00138,Cliente 00138,Gobierno,Villavicencio,Llanos,Meta,F,56+,2023-01-23,Activo
C00139,Cliente 00139,Hogar,Barranquilla,Caribe,Atlantico,M,46-55,2020-01-23,Activo
C00140,Cliente 00140,Corporativo,Bogota,Centro,Cundinamarca,F,36-45,2023-05-01,Activo
C00141,Cliente 00141,Corporativo,Barranquilla,Caribe,Atlantico,No informado,36-45,2024-04-07,Activo
C00142,Cliente 00142,Pyme,Ibague,Centro,Tolima,F,36-45,2023-10-18,Activo
C00143,Cliente 00143,Gobierno,Manizales,Eje Cafetero,Caldas,M,26-35,2020-10-11,Activo
C00144,Cliente 00144,Educacion,Villavicencio,Llanos,Meta,M,46-55,2019-08-18,Activo
C00145,Cliente 00145,Educacion,Medellin,Antioquia,Antioquia,No informado,18-25,2019-10-08,Activo
C00146,Cliente 00146,Corporativo,Cali,Occidente,Valle del Cauca,No informado,56+,2024-01-21,Activo
C00147,Cliente 00147,Educacion,Cartagena,Caribe,Bolivar,F,56+,2021-09-22,Activo
C00148,Cliente 00148,Hogar,Barranquilla,Caribe,Atlantico,F,56+,2022-05-20,Inactivo
C00149,Cliente 00149,Pyme,Santa Marta,Caribe,Magdalena,F,26-35,2020-03-25,Activo
C00150,Cliente 00150,Corporativo,Barranquilla,Caribe,Atlantico,M,18-25,2021-11-04,Activo
C00151,Cliente 00151,Gobierno,Villavicencio,Llanos,Meta,No informado,26-35,2024-07-31,Activo
C00152,Cliente 00152,Educacion,Barranquilla,Caribe,Atlantico,M,18-25,2019-03-24,Activo
C00153,Cliente 00153,Hogar,Bogota,Centro,Cundinamarca,F,26-35,2021-05-28,Activo
C00154,Cliente 00154,Hogar,Ibague,Centro,Tolima,F,36-45,2020-07-12,Activo
C00155,Cliente 00155,Educacion,Ibague,Centro,Tolima,M,46-55,2021-09-24,Activo
C00156,Cliente 00156,Hogar,Santa Marta,Caribe,Magdalena,No informado,56+,2025-05-31,Activo
C00157,Cliente 00157,Educacion,Cartagena,Caribe,Bolivar,M,56+,2025-12-16,Activo
C00158,Cliente 00158,Gobierno,Santa Marta,Caribe,Magdalena,No informado,18-25,2024-07-13,Activo
C00159,Cliente 00159,Hogar,Cali,Occidente,Valle del Cauca,M,26-35,2020-02-17,Activo
C00160,Cliente 00160,Educacion,Pasto,Sur,Narino,M,56+,2019-09-18,Activo
C00161,Cliente 00161,Educacion,Bogota,Centro,Cundinamarca,F,18-25,2024-09-02,Activo
C00162,Cliente 00162,Pyme,Ibague,Centro,Tolima,M,26-35,2022-09-16,Activo
C00163,Cliente 00163,Gobierno,Pereira,Eje Cafetero,Risaralda,M,36-45,2019-11-17,Activo
C00164,Cliente 00164,Educacion,Bucaramanga,Oriente,Santander,M,36-45,2023-08-19,Activo
C00165,Cliente 00165,Educacion,Cartagena,Caribe,Bolivar,M,46-55,2021-09-11,Activo
C00166,Cliente 00166,Educacion,Medellin,Antioquia,Antioquia,F,56+,2025-08-26,Activo
C00167,Cliente 00167,Educacion,Bucaramanga,Oriente,Santander,F,46-55,2025-05-04,Activo
C00168,Cliente 00168,Pyme,Barranquilla,Caribe,Atlantico,M,26-35,2019-01-21,Activo
C00169,Cliente 00169,Educacion,Pereira,Eje Cafetero,Risaralda,No informado,36-45,2025-07-24,Activo
C00170,Cliente 00170,Gobierno,Ibague,Centro,Tolima,M,46-55,2019-07-26,Activo
C00171,Cliente 00171,Pyme,Bucaramanga,Oriente,Santander,No informado,18-25,2023-02-06,Activo
C00172,Cliente 00172,Corporativo,Cartagena,Caribe,Bolivar,F,56+,2020-09-04,Activo
C00173,Cliente 00173,Educacion,Pereira,Eje Cafetero,Risaralda,No informado,36-45,2021-04-21,Activo
C00174,Cliente 00174,Corporativo,Bucaramanga,Oriente,Santander,No informado,36-45,2023-07-09,Activo
C00175,Cliente 00175,Hogar,Barranquilla,Caribe,Atlantico,No informado,36-45,2021-09-06,Activo
C00176,Cliente 00176,Pyme,Manizales,Eje Cafetero,Caldas,F,26-35,2020-09-17,Inactivo
C00177,Cliente 00177,Hogar,Cartagena,Caribe,Bolivar,M,36-45,2025-05-06,Activo
C00178,Cliente 00178,Educacion,Pasto,Sur,Narino,F,18-25,2023-05-31,Activo
C00179,Cliente 00179,Corporativo,Pasto,Sur,Narino,No informado,36-45,2019-04-28,Activo
C00180,Cliente 00180,Gobierno,Santa Marta,Caribe,Magdalena,M,18-25,2021-08-19,Inactivo
C00181,Cliente 00181,Corporativo,Pereira,Eje Cafetero,Risaralda,F,46-55,2022-07-25,Activo
C00182,Cliente 00182,Corporativo,Cali,Occidente,Valle del Cauca,M,56+,2019-12-24,Activo
C00183,Cliente 00183,Corporativo,Bucaramanga,Oriente,Santander,F,18-25,2023-06-23,Activo
C00184,Cliente 00184,Corporativo,Pereira,Eje Cafetero,Risaralda,M,56+,2019-09-28,Activo
C00185,Cliente 00185,Hogar,Medellin,Antioquia,Antioquia,M,46-55,2020-09-04,Activo
C00186,Cliente 00186,Corporativo,Ibague,Centro,Tolima,M,18-25,2021-06-19,Activo
C00187,Cliente 00187,Corporativo,Ibague,Centro,Tolima,M,18-25,2023-10-18,Activo
C00188,Cliente 00188,Hogar,Cartagena,Caribe,Bolivar,M,26-35,2022-12-16,Activo
C00189,Cliente 00189,Educacion,Cartagena,Caribe,Bolivar,F,56+,2021-06-05,Activo
C00190,Cliente 00190,Pyme,Bucaramanga,Oriente,Santander,No informado,26-35,2024-02-29,Inactivo
C00191,Cliente 00191,Corporativo,Pasto,Sur,Narino,F,36-45,2025-01-16,Activo
C00192,Cliente 00192,Educacion,Bucaramanga,Oriente,Santander,F,36-45,2021-08-13,Activo
C00193,Cliente 00193,Pyme,Pasto,Sur,Narino,M,36-45,2020-02-28,Activo
C00194,Cliente 00194,Gobierno,Bogota,Centro,Cundinamarca,No informado,46-55,2019-01-22,Activo
C00195,Cliente 00195,Pyme,Cali,Occidente,Valle del Cauca,No informado,46-55,2022-12-12,Activo
C00196,Cliente 00196,Educacion,Villavicencio,Llanos,Meta,F,56+,2022-10-30,Activo
C00197,Cliente 00197,Corporativo,Villavicencio,Llanos,Meta,No informado,46-55,2025-03-10,Activo
C00198,Cliente 00198,Pyme,Cali,Occidente,Valle del Cauca,No informado,26-35,2023-01-17,Activo
C00199,Cliente 00199,Pyme,Bucaramanga,Oriente,Santander,M,26-35,2022-09-11,Activo
C00200,Cliente 00200,Gobierno,Bucaramanga,Oriente,Santander,F,36-45,2019-07-26,Activo
C00201,Cliente 00201,Hogar,Santa Marta,Caribe,Magdalena,M,26-35,2023-03-08,Activo
C00202,Cliente 00202,Educacion,Manizales,Eje Cafetero,Caldas,M,18-25,2019-01-17,Activo
C00203,Cliente 00203,Gobierno,Ibague,Centro,Tolima,No informado,56+,2023-01-29,Activo
C00204,Cliente 00204,Pyme,Ibague,Centro,Tolima,F,36-45,2019-05-16,Activo
C00205,Cliente 00205,Hogar,Barranquilla,Caribe,Atlantico,No informado,26-35,2023-12-26,Activo
C00206,Cliente 00206,Gobierno,Barranquilla,Caribe,Atlantico,F,36-45,2021-10-11,Activo
C00207,Cliente 00207,Gobierno,Bogota,Centro,Cundinamarca,M,26-35,2021-09-27,Activo
C00208,Cliente 00208,Hogar,Ibague,Centro,Tolima,No informado,18-25,2024-11-10,Inactivo
C00209,Cliente 00209,Educacion,Bucaramanga,Oriente,Santander,M,46-55,2019-01-21,Activo
C00210,Cliente 00210,Gobierno,Bogota,Centro,Cundinamarca,No informado,18-25,2025-05-26,Activo
C00211,Cliente 00211,Corporativo,Villavicencio,Llanos,Meta,No informado,18-25,2024-09-12,Activo
C00212,Cliente 00212,Pyme,Barranquilla,Caribe,Atlantico,F,26-35,2020-07-10,Activo
C00213,Cliente 00213,Gobierno,Cali,Occidente,Valle del Cauca,M,18-25,2020-03-21,Activo
C00214,Cliente 00214,Corporativo,Cartagena,Caribe,Bolivar,F,26-35,2020-10-25,Activo
C00215,Cliente 00215,Pyme,Villavicencio,Llanos,Meta,M,46-55,2026-01-03,Activo
C00216,Cliente 00216,Hogar,Pasto,Sur,Narino,M,36-45,2021-10-04,Activo
C00217,Cliente 00217,Educacion,Cali,Occidente,Valle del Cauca,No informado,18-25,2019-06-14,Activo
C00218,Cliente 00218,Educacion,Ibague,Centro,Tolima,M,46-55,2019-07-23,Activo
C00219,Cliente 00219,Pyme,Barranquilla,Caribe,Atlantico,F,46-55,2025-07-04,Activo
C00220,Cliente 00220,Corporativo,Bucaramanga,Oriente,Santander,F,56+,2021-12-25,Activo
C00221,Cliente 00221,Hogar,Santa Marta,Caribe,Magdalena,M,46-55,2022-12-17,Activo
C00222,Cliente 00222,Pyme,Bogota,Centro,Cundinamarca,No informado,18-25,2024-10-22,Activo
C00223,Cliente 00223,Educacion,Cartagena,Caribe,Bolivar,No informado,18-25,2020-12-24,Activo
C00224,Cliente 00224,Pyme,Cartagena,Caribe,Bolivar,F,36-45,2022-05-31,Activo
C00225,Cliente 00225,Pyme,Pereira,Eje Cafetero,Risaralda,F,46-55,2023-03-03,Activo
C00226,Cliente 00226,Pyme,Cartagena,Caribe,Bolivar,M,46-55,2023-08-13,Activo
C00227,Cliente 00227,Educacion,Bogota,Centro,Cundinamarca,F,46-55,2022-02-02,Activo
C00228,Cliente 00228,Pyme,Pasto,Sur,Narino,F,56+,2021-02-04,Activo
C00229,Cliente 00229,Educacion,Ibague,Centro,Tolima,M,46-55,2020-07-10,Activo
C00230,Cliente 00230,Hogar,Bogota,Centro,Cundinamarca,F,56+,2022-11-03,Activo
C00231,Cliente 00231,Gobierno,Manizales,Eje Cafetero,Caldas,M,56+,2023-07-24,Activo
C00232,Cliente 00232,Gobierno,Bogota,Centro,Cundinamarca,No informado,26-35,2021-03-02,Activo
C00233,Cliente 00233,Gobierno,Santa Marta,Caribe,Magdalena,No informado,36-45,2022-05-19,Activo
C00234,Cliente 00234,Hogar,Bucaramanga,Oriente,Santander,No informado,56+,2020-09-03,Activo
C00235,Cliente 00235,Gobierno,Pereira,Eje Cafetero,Risaralda,F,36-45,2025-02-07,Activo
C00236,Cliente 00236,Pyme,Pasto,Sur,Narino,No informado,26-35,2020-01-02,Activo
C00237,Cliente 00237,Corporativo,Cali,Occidente,Valle del Cauca,No informado,18-25,2025-09-03,Activo
C00238,Cliente 00238,Pyme,Villavicencio,Llanos,Meta,F,46-55,2019-01-06,Activo
C00239,Cliente 00239,Pyme,Medellin,Antioquia,Antioquia,F,18-25,2019-06-24,Activo
C00240,Cliente 00240,Hogar,Ibague,Centro,Tolima,F,56+,2020-02-21,Activo
C00241,Cliente 00241,Educacion,Ibague,Centro,Tolima,F,46-55,2023-11-14,Activo
C00242,Cliente 00242,Pyme,Manizales,Eje Cafetero,Caldas,M,46-55,2019-12-09,Activo
C00243,Cliente 00243,Pyme,Manizales,Eje Cafetero,Caldas,No informado,36-45,2021-03-19,Activo
C00244,Cliente 00244,Educacion,Bucaramanga,Oriente,Santander,F,46-55,2025-03-28,Activo
C00245,Cliente 00245,Educacion,Cali,Occidente,Valle del Cauca,F,36-45,2025-10-20,Activo
C00246,Cliente 00246,Educacion,Villavicencio,Llanos,Meta,No informado,36-45,2022-05-23,Activo
C00247,Cliente 00247,Pyme,Barranquilla,Caribe,Atlantico,M,26-35,2023-08-27,Activo
C00248,Cliente 00248,Hogar,Cartagena,Caribe,Bolivar,F,46-55,2023-12-16,Activo
C00249,Cliente 00249,Gobierno,Bogota,Centro,Cundinamarca,M,36-45,2021-01-09,Activo
C00250,Cliente 00250,Hogar,Manizales,Eje Cafetero,Caldas,No informado,46-55,2025-09-11,Activo
C00251,Cliente 00251,Pyme,Bogota,Centro,Cundinamarca,No informado,36-45,2020-08-11,Activo
C00252,Cliente 00252,Educacion,Cartagena,Caribe,Bolivar,No informado,46-55,2023-08-18,Activo
C00253,Cliente 00253,Educacion,Bogota,Centro,Cundinamarca,No informado,18-25,2019-12-11,Activo
C00254,Cliente 00254,Pyme,Villavicencio,Llanos,Meta,M,56+,2021-03-11,Activo
C00255,Cliente 00255,Hogar,Bogota,Centro,Cundinamarca,M,36-45,2021-06-14,Activo
C00256,Cliente 00256,Educacion,Barranquilla,Caribe,Atlantico,M,18-25,2025-07-10,Inactivo
C00257,Cliente 00257,Pyme,Cartagena,Caribe,Bolivar,M,36-45,2021-09-13,Activo
C00258,Cliente 00258,Educacion,Bogota,Centro,Cundinamarca,M,46-55,2020-08-31,Activo
C00259,Cliente 00259,Educacion,Santa Marta,Caribe,Magdalena,No informado,46-55,2024-09-26,Activo
C00260,Cliente 00260,Corporativo,Cali,Occidente,Valle del Cauca,No informado,46-55,2022-12-04,Activo
C00261,Cliente 00261,Gobierno,Barranquilla,Caribe,Atlantico,M,56+,2020-11-28,Activo
C00262,Cliente 00262,Pyme,Medellin,Antioquia,Antioquia,M,36-45,2021-09-07,Activo
C00263,Cliente 00263,Corporativo,Ibague,Centro,Tolima,No informado,18-25,2021-02-25,Inactivo
C00264,Cliente 00264,Gobierno,Villavicencio,Llanos,Meta,No informado,46-55,2023-06-29,Activo
C00265,Cliente 00265,Hogar,Bogota,Centro,Cundinamarca,F,36-45,2025-06-13,Inactivo
C00266,Cliente 00266,Gobierno,Ibague,Centro,Tolima,F,56+,2021-12-04,Activo
C00267,Cliente 00267,Corporativo,Cartagena,Caribe,Bolivar,No informado,26-35,2024-06-30,Activo
