id_transaccion,fecha_venta,id_cliente,id_producto,id_tienda,cantidad,precio_unitario,descuento_pct,metodo_pago,canal_venta,estado_transaccion,moneda,costo_unitario,vendedor_id,origen_dato
V000000423,2026-04-10,C02498,P0435,T012,2,992875.0,0.1,Tarjeta credito,App movil,Completada,COP,550400,VEN164,ECOM
V000000424,2026-06-13,C03936,P0334,T057,2,1965460.0,0.05,Efectivo,App movil,Completada,COP,1383800,VEN090,ECOM
V000000431,2026-05-11,C02917,P0023,T052,2,1037124.0,0.1,Transferencia,Tienda fisica,Completada,COP,561800,VEN087,CRM
V000000442,2026-06-09,C00376,P0009,T022,1,1037712.0,0.0,Efectivo,Web,Completada,COP,646900,VEN070,ECOM
V000000447,2026-02-15,C03559,P0130,T054,1,2251052.0,0.05,Efectivo,Marketplace,Completada,COP,1478000,VEN033,CRM
V000000454,2026-02-24,C03786,P0493,T039,1,1146474.0,0.2,Billetera digital,Call center,Completada,COP,742400,VEN091,CRM
V000000469,2026-03-03,C02853,P0473,T001,1,1969005.0,0.0,Tarjeta debito,Marketplace,Completada,COP,1225300,VEN109,CRM
V000000478,2026-05-05,C04356,P0317,T030,4,1245319.0,0.05,Tarjeta debito,Call center,Completada,COP,698200,VEN059,POS
V000000483,2026-03-15,C01678,P0100,T032,1,1064944.0,0.0,Billetera digital,Marketplace,Completada,COP,675600,VEN109,POS
V000000485,2026-05-28,C04244,P0180,T048,1,1247726.0,0.0,Transferencia,Tienda fisica,Completada,COP,969000,VEN003,ECOM
V000000499,2026-06-07,C04860,P0253,T050,1,1866110.0,0.15,Efectivo,Call center,Completada,COP,1489600,VEN003,ECOM
V000000505,2026-06-01,C00815,P0464,T054,1,685101.0,0.0,Transferencia,Web,Completada,COP,459700,VEN107,POS
V000000515,2026-06-09,C04007,P0100,T014,5,1234058.0,0.03,Efectivo,Web,Completada,COP,675600,VEN014,ECOM
V000000517,2026-03-13,C01014,P0238,T003,1,729479.0,0.1,Tarjeta debito,Tienda fisica,Completada,COP,520200,VEN163,CRM
V000000521,2026-01-28,C04546,P0308,T029,1,1411463.0,0.03,Transferencia,Marketplace,Completada,COP,846000,VEN135,CRM
V000000531,2026-01-15,C03395,P0500,T027,1,2390102.0,0.15,Billetera digital,Call center,Completada,COP,1268700,VEN009,POS
V000000542,2026-04-02,C01389,P0029,T025,1,1371928.0,0.0,Tarjeta credito,Call center,Completada,COP,715100,VEN140,ECOM
V000000554,2026-05-24,C00011,P0034,T058,1,444330.0,0.03,Transferencia,Tienda fisica,Completada,COP,283800,VEN056,ECOM
V000000566,2026-05-13,C04265,P0307,T058,1,1034183.0,0.0,Billetera digital,Call center,Completada,COP,765500,VEN012,ECOM
V000000591,2026-05-28,C01821,P0476,T021,2,1446199.0,0.2,Efectivo,Marketplace,Completada,COP,1036500,VEN009,ECOM
V000000595,2026-03-19,C03887,P0158,T034,2,965471.0,0.0,Tarjeta credito,Call center,Completada,COP,607700,VEN150,CRM
V000000601,2026-05-06,C04222,P0453,T041,4,1962386.0,0.03,Transferencia,Web,Completada,COP,1366600,VEN174,CRM
V000000602,2026-02-17,C03836,P0055,T052,1,2178687.0,0.15,Transferencia,Call center,Completada,COP,1291400,VEN088,POS
V000000628,2026-05-12,C00661,P0080,T013,1,2428457.0,0.0,Tarjeta debito,Tienda fisica,Completada,COP,1412800,VEN132,CRM
V000000629,2026-06-11,C02998,P0203,T043,2,1025160.0,0.2,Tarjeta debito,Call center,Completada,COP,772000,VEN174,POS
V000000634,2026-05-17,C01706,P0429,T029,1,575256.0,0.0,Tarjeta credito,App movil,Completada,COP,400200,VEN011,ECOM
V000000656,2026-02-16,C00712,P0023,T040,1,975322.0,0.2,Efectivo,Marketplace,Completada,COP,561800,VEN103,CRM
V000000657,2026-06-20,C04610,P0329,T011,1,1175337.0,0.0,Billetera digital,Call center,Completada,COP,947300,VEN072,POS
V000000661,2026-06-12,C03334,P0014,T059,1,1556306.0,0.05,Transferencia,Call center,Completada,COP,1165700,VEN017,CRM
V000000666,2026-02-01,C01113,P0092,T001,1,91923.0,0.0,Billetera digital,Tienda fisica,Completada,COP,66000,VEN003,CRM
V000000667,2026-04-18,C01100,P0003,T034,1,544425.0,0.0,Tarjeta credito,Call center,Completada,COP,353600,VEN111,CRM
V000000671,2026-03-09,C00649,P0283,T054,5,2264390.0,0.05,Billetera digital,Marketplace,Completada,COP,1517000,VEN062,ECOM
V000000681,2026-05-18,C03028,P0255,T053,9,427533.0,0.05,Transferencia,Marketplace,Completada,COP,278800,VEN095,POS
V000000689,2026-03-27,C02484,P0221,T024,1,1881366.0,0.0,Tarjeta credito,Marketplace,Completada,COP,1545700,VEN147,CRM
V000000692,2026-03-15,C01066,P0334,T048,1,2115797.0,0.15,Efectivo,Web,Completada,COP,1383800,VEN093,CRM
V000000699,2026-02-23,C00779,P0045,T038,1,1691806.0,0.0,Billetera digital,Call center,Completada,COP,1183300,VEN158,CRM
V000000706,2026-01-01,C04658,P0021,T043,1,1014479.0,0.0,Tarjeta credito,Call center,Completada,COP,565600,VEN059,POS
V000000742,2026-05-25,C00738,P0347,T007,4,313682.0,0.03,Transferencia,Web,Completada,COP,185800,VEN178,ECOM
V000000749,2026-06-08,C04280,P0211,T008,1,331411.0,0.1,Transferencia,Call center,Completada,COP,212500,VEN048,CRM
V000000756,2026-05-08,C00827,P0296,T026,1,1908091.0,0.03,Efectivo,Web,Completada,COP,1238700,VEN067,ECOM
V000000759,2026-02-28,C01879,P0210,T053,1,1136738.0,0.0,Tarjeta debito,App movil,Completada,COP,866700,VEN055,CRM
V000000760,2026-05-27,C03015,P0169,T050,1,495469.0,0.0,Transferencia,App movil,Completada,COP,303200,VEN158,CRM
V000000777,2026-01-14,C01912,P0013,T003,2,41048.0,0.05,Transferencia,App movil,Completada,COP,23100,VEN040,ECOM
V000000783,2026-03-29,C00563,P0038,T037,1,693421.0,0.2,Efectivo,Web,Completada,COP,383300,VEN055,POS
V000000800,2026-06-20,C03393,P0205,T010,1,752729.0,0.15,Transferencia,App movil,Completada,COP,497800,VEN149,POS
V000000801,2026-04-27,C01723,P0284,T038,5,708019.0,0.0,Tarjeta debito,App movil,Completada,COP,486700,VEN162,ECOM
V000000802,2026-03-11,C01263,P0458,T054,1,110726.0,0.03,Efectivo,Web,Completada,COP,80800,VEN078,CRM
V000000818,2026-05-31,C04445,P0023,T013,2,947881.0,0.0,Tarjeta debito,Tienda fisica,Completada,COP,561800,VEN123,ECOM
V000000828,2026-06-04,C00317,P0186,T004,3,2449492.0,0.0,Tarjeta credito,Call center,Completada,COP,1377400,VEN106,CRM
V000000831,2026-06-11,C00480,P0409,T034,1,1682913.0,0.03,Tarjeta debito,App movil,Completada,COP,1381400,VEN094,CRM
V000000854,2026-02-09,C01884,P0033,T006,2,2433870.0,0.03,Tarjeta debito,Web,Completada,COP,1330000,VEN035,ECOM
V000000861,2026-06-05,C02825,P0334,T005,1,2109600.0,0.0,Tarjeta debito,App movil,Completada,COP,1383800,VEN043,ECOM
V000000869,2026-06-07,C02479,P0028,T045,1,1426899.0,0.15,Tarjeta credito,Call center,Completada,COP,844400,VEN168,POS
V000000873,2026-01-18,C03314,P0121,T027,1,1514503.0,0.03,Transferencia,App movil,Completada,COP,865700,VEN164,CRM
V000000878,2026-05-20,C02590,P0360,T006,1,1138725.0,0.05,Efectivo,Marketplace,Completada,COP,854400,VEN154,ECOM
V000000879,2026-01-21,C03210,P0010,T052,1,1951483.0,0.0,Efectivo,Call center,Completada,COP,1430200,VEN104,ECOM
V000000882,2026-04-19,C01313,P0171,T015,1,711907.0,0.15,Transferencia,Marketplace,Completada,COP,512900,VEN174,ECOM
V000000886,2026-06-05,C01214,P0271,T047,1,1010150.0,0.08,Tarjeta debito,Marketplace,Completada,COP,780000,VEN142,ECOM
V000000888,2026-05-15,C02467,P0409,T050,1,1700479.0,0.03,Efectivo,Web,Completada,COP,1381400,VEN088,ECOM
V000000902,2026-04-17,C00521,P0412,T009,3,643932.0,0.2,Efectivo,Tienda fisica,Completada,COP,372200,VEN145,ECOM
V000000905,2026-04-11,C04476,P0427,T051,1,2399644.0,0.15,Tarjeta debito,Marketplace,Completada,COP,1309400,VEN029,ECOM
V000000911,2026-01-11,C00338,P0411,T019,3,1595828.0,0.08,Billetera digital,Tienda fisica,Completada,COP,917000,VEN099,CRM
V000000916,2026-03-29,C00597,P0290,T025,2,197854.0,0.0,Tarjeta debito,Call center,Completada,COP,134400,VEN157,ECOM
V000000921,2026-03-31,C01170,P0004,T018,1,574851.0,0.0,Tarjeta credito,Tienda fisica,Completada,COP,324900,VEN115,POS
V000000922,2026-05-12,C00676,P0014,T051,1,1715878.0,0.2,Efectivo,Call center,Completada,COP,1165700,VEN172,CRM
V000000931,2026-01-30,C04193,P0059,T020,1,1175322.0,0.1,Billetera digital,App movil,Completada,COP,810100,VEN056,CRM
V000000944,2026-01-02,C04345,P0361,T059,1,1021421.0,0.0,Tarjeta debito,App movil,Completada,COP,675400,VEN085,ECOM
V000000964,2026-04-29,C01668,P0292,T027,2,1257398.0,0.0,Tarjeta debito,App movil,Completada,COP,800300,VEN048,ECOM
V000000972,2026-03-16,C02139,P0146,T008,2,1907641.0,0.0,Efectivo,Marketplace,Completada,COP,1178300,VEN126,CRM
V000001018,2026-06-19,C03347,P0035,T042,1,677777.0,0.03,Tarjeta credito,Call center,Completada,COP,400200,VEN058,POS
V000001036,2026-03-23,C01678,P0317,T016,1,1234872.0,0.08,Billetera digital,Web,Completada,COP,698200,VEN149,ECOM
V000001038,2026-01-01,C01608,P0133,T056,5,1295044.0,0.1,Efectivo,Marketplace,Completada,COP,939900,VEN152,CRM
V000001040,2026-05-26,C02291,P0141,T009,2,1995977.0,0.03,Tarjeta debito,App movil,Completada,COP,1102100,VEN032,POS
V000001052,2026-03-11,C03683,P0435,T045,1,949702.0,0.15,Transferencia,Tienda fisica,Completada,COP,550400,VEN147,CRM
V000001059,2026-01-10,C01395,P0035,T007,1,680306.0,0.08,Efectivo,Web,Completada,COP,400200,VEN016,POS
V000001075,2026-06-21,C03535,P0196,T015,1,850923.0,0.0,Billetera digital,Marketplace,Completada,COP,580400,VEN087,CRM
V000001078,2026-02-28,C04153,P0134,T013,1,1946472.0,0.03,Tarjeta credito,Marketplace,Completada,COP,1514400,VEN022,POS
V000001080,2026-04-05,C00179,P0404,T057,1,309454.0,0.0,Tarjeta debito,Web,Completada,COP,175900,VEN109,CRM
V000001081,2026-03-27,C03091,P0073,T060,2,89891.0,0.03,Tarjeta credito,Marketplace,Completada,COP,56600,VEN071,ECOM
V000001082,2026-06-05,C03088,P0166,T015,1,1626838.0,0.15,Transferencia,Web,Completada,COP,1331700,VEN157,ECOM
V000001084,2026-02-24,C00058,P0032,T021,1,2261368.0,0.0,Transferencia,Marketplace,Completada,COP,1442900,VEN080,POS
V000001088,2026-04-18,C02578,P0329,T031,1,1183461.0,0.15,Efectivo,Marketplace,Completada,COP,947300,VEN023,CRM
V000001089,2026-05-19,C00318,P0105,T052,1,2128898.0,0.0,Billetera digital,App movil,Completada,COP,1528500,VEN001,CRM
V000001092,2026-06-05,C02949,P0418,T013,1,833144.0,0.05,Tarjeta debito,Call center,Completada,COP,586100,VEN129,CRM
V000001096,2026-04-25,C02941,P0382,T038,3,687975.0,0.15,Billetera digital,Web,Completada,COP,512800,VEN083,CRM
V000001106,2026-01-27,C01859,P0429,T049,1,529581.0,0.0,Efectivo,Call center,Completada,COP,400200,VEN074,CRM
V000001109,2026-06-19,C04999,P0246,T011,2,2251168.0,0.15,Efectivo,Web,Completada,COP,1410900,VEN107,CRM
V000001120,2026-01-22,C03097,P0044,T031,1,2090275.0,0.08,Billetera digital,Tienda fisica,Completada,COP,1491000,VEN141,CRM
V000001124,2026-03-27,C00447,P0051,T055,1,1473031.0,0.03,Tarjeta debito,App movil,Completada,COP,1134700,VEN007,POS
V000001136,2026-03-31,C03202,P0034,T057,1,408141.0,0.15,Transferencia,Web,Completada,COP,283800,VEN115,POS
V000001138,2026-04-28,C02059,P0272,T052,1,166764.0,0.0,Efectivo,Tienda fisica,Completada,COP,121300,VEN033,POS
V000001140,2026-05-14,C01916,P0087,T049,1,315918.0,0.0,Tarjeta credito,Call center,Completada,COP,173500,VEN042,CRM
V000001142,2026-03-15,C01507,P0083,T022,2,2448977.0,0.05,Tarjeta credito,App movil,Completada,COP,1410300,VEN003,CRM
V000001149,2026-06-12,C03519,P0043,T014,1,1643267.0,0.08,Tarjeta credito,App movil,Completada,COP,1043000,VEN111,POS
V000001160,2026-02-23,C01336,P0057,T024,1,2247910.0,0.1,Tarjeta credito,App movil,Completada,COP,1278600,VEN132,ECOM
V000001166,2026-05-11,C03937,P0456,T028,1,2253558.0,0.0,Transferencia,App movil,Completada,COP,1795200,VEN043,CRM
V000001178,2026-03-01,C02474,P0148,T016,1,1331139.0,0.1,Efectivo,Web,Completada,COP,869900,VEN114,CRM
V000001193,2026-06-21,C03715,P0386,T011,1,2157642.0,0.0,Billetera digital,App movil,Completada,COP,1419300,VEN083,CRM
V000001199,2026-01-28,C01417,P0056,T022,1,2420432.0,0.05,Billetera digital,Tienda fisica,Completada,COP,1303900,VEN090,CRM
V000001201,2026-05-27,C01627,P0303,T040,2,931474.0,0.08,Billetera digital,App movil,Completada,COP,532400,VEN140,CRM
V000001204,2026-02-15,C01316,P0197,T042,2,379142.0,0.05,Transferencia,Tienda fisica,Completada,COP,266300,VEN156,ECOM
V000001205,2026-04-25,C01261,P0491,T058,1,1807115.0,0.1,Efectivo,Marketplace,Completada,COP,1090500,VEN156,CRM
V000001232,2026-05-19,C04226,P0336,T019,1,781010.0,0.03,Tarjeta credito,Tienda fisica,Completada,COP,575600,VEN015,ECOM
V000001250,2026-06-22,C00413,P0408,T029,1,1457303.0,0.03,Efectivo,App movil,Completada,COP,1029500,VEN122,POS
V000001252,2026-05-01,C04008,P0449,T043,1,924550.0,0.05,Billetera digital,Web,Completada,COP,555200,VEN082,ECOM
V000001253,2026-05-24,C03938,P0302,T008,2,1932861.0,0.0,Tarjeta debito,Call center,Completada,COP,1088100,VEN033,POS
V000001258,2026-03-21,C00501,P0158,T041,9,875228.0,0.15,Efectivo,Tienda fisica,Completada,COP,607700,VEN023,ECOM
V000001261,2026-05-14,C01040,P0492,T018,1,86957.0,0.08,Tarjeta credito,Web,Completada,COP,61900,VEN070,POS
V000001274,2026-04-14,C03247,P0400,T016,2,565961.0,0.0,Tarjeta debito,Marketplace,Completada,COP,318900,VEN144,CRM
V000001277,2026-01-28,C01839,P0403,T032,1,1140385.0,0.2,Transferencia,Tienda fisica,Completada,COP,723300,VEN091,ECOM
V000001282,2026-05-22,C01897,P0222,T007,1,2458988.0,0.15,Billetera digital,Tienda fisica,Completada,COP,1270400,VEN131,ECOM
V000001284,2026-02-27,C04743,P0203,T002,1,989221.0,0.1,Efectivo,App movil,Completada,COP,772000,VEN033,POS
V000001313,2026-05-01,C02489,P0331,T015,1,216614.0,0.03,Tarjeta credito,Call center,Completada,COP,117000,VEN105,ECOM
V000001318,2026-05-16,C03912,P0119,T030,1,1507339.0,0.05,Tarjeta debito,Call center,Completada,COP,922600,VEN159,ECOM
V000001320,2026-05-22,C02113,P0189,T004,1,171147.0,0.08,Efectivo,Call center,Completada,COP,126200,VEN134,ECOM
V000001328,2026-04-12,C02626,P0119,T027,1,1453814.0,0.0,Billetera digital,App movil,Completada,COP,922600,VEN076,ECOM
V000001337,2026-05-19,C02730,P0390,T012,1,1083165.0,0.1,Efectivo,Marketplace,Completada,COP,606600,VEN059,ECOM
V000001346,2026-01-02,C04750,P0325,T041,1,738924.0,0.03,Tarjeta credito,App movil,Completada,COP,548400,VEN092,ECOM
V000001357,2026-05-26,C04835,P0256,T004,1,1517226.0,0.2,Tarjeta debito,Call center,Completada,COP,1192900,VEN137,ECOM
V000001368,2026-02-03,C00943,P0322,T041,1,320952.0,0.08,Efectivo,Marketplace,Completada,COP,171000,VEN041,CRM
V000001381,2026-05-29,C03478,P0457,T010,1,1584622.0,0.15,Tarjeta debito,Web,Completada,COP,969700,VEN161,ECOM
V000001386,2026-05-04,C03713,P0252,T010,1,1269263.0,0.0,Tarjeta debito,Tienda fisica,Completada,COP,972800,VEN053,CRM
V000001390,2026-01-12,C01618,P0264,T033,1,29283.0,0.15,Tarjeta debito,Tienda fisica,Completada,COP,20900,VEN151,CRM
V000001393,2026-06-02,C05000,P0183,T032,1,1184957.0,0.05,Tarjeta debito,App movil,Completada,COP,747100,VEN004,POS
V000001399,2026-04-25,C01212,P0050,T030,1,85943.0,0.1,Transferencia,Web,Completada,COP,47800,VEN139,CRM
V000001405,2026-02-13,C03433,P0265,T052,1,1684992.0,0.05,Tarjeta credito,Marketplace,Completada,COP,1090800,VEN110,CRM
V000001414,2026-01-24,C04381,P0178,T034,1,1295017.0,0.0,Tarjeta credito,Marketplace,Completada,COP,810900,VEN086,POS
V000001419,2026-05-17,C00287,P0040,T041,3,212521.0,0.05,Tarjeta debito,Tienda fisica,Completada,COP,138700,VEN150,ECOM
V000001423,2026-05-13,C00740,P0103,T010,1,185738.0,0.03,Tarjeta credito,App movil,Completada,COP,144300,VEN040,CRM
V000001425,2026-05-06,C03871,P0349,T027,1,1307175.0,0.0,Efectivo,Marketplace,Completada,COP,899400,VEN109,ECOM
V000001432,2026-05-24,C04813,P0038,T011,2,607172.0,0.0,Efectivo,App movil,Completada,COP,383300,VEN082,POS
V000001448,2026-05-12,C01308,P0035,T039,1,770286.0,0.0,Tarjeta credito,Web,Completada,COP,400200,VEN165,CRM
V000001459,2026-05-04,C04723,P0210,T055,1,1322234.0,0.2,Tarjeta credito,Marketplace,Completada,COP,866700,VEN046,POS
V000001472,2026-03-14,C02263,P0073,T015,1,94394.0,0.0,Billetera digital,Marketplace,Completada,COP,56600,VEN026,POS
V000001488,2026-01-29,C04777,P0484,T011,1,1108470.0,0.0,Tarjeta debito,Call center,Completada,COP,631700,VEN038,ECOM
V000001489,2026-03-31,C04088,P0386,T005,2,2473224.0,0.2,Billetera digital,Call center,Completada,COP,1419300,VEN063,POS
V000001494,2026-02-13,C01498,P0043,T039,2,1778552.0,0.0,Efectivo,Web,Completada,COP,1043000,VEN029,POS
V000001503,2026-01-09,C03882,P0163,T029,1,2095902.0,0.05,Tarjeta credito,Web,Completada,COP,1604700,VEN001,POS
V000001537,2026-03-28,C00682,P0472,T023,3,1839895.0,0.03,Efectivo,App movil,Completada,COP,1236500,VEN162,CRM
V000001546,2026-03-09,C03677,P0031,T011,4,366467.0,0.1,Transferencia,Marketplace,Completada,COP,185300,VEN130,ECOM
V000001547,2026-04-19,C03982,P0212,T050,1,1195803.0,0.1,Tarjeta credito,Tienda fisica,Completada,COP,816000,VEN093,ECOM
V000001555,2026-06-21,C01595,P0351,T033,2,1127141.0,0.08,Transferencia,App movil,Completada,COP,838300,VEN115,ECOM
V000001573,2026-02-08,C03263,P0299,T025,1,1165164.0,0.15,Efectivo,Marketplace,Completada,COP,741300,VEN102,ECOM
V000001580,2026-01-29,C02713,P0035,T006,1,753526.0,0.03,Transferencia,App movil,Completada,COP,400200,VEN123,POS
V000001582,2026-06-21,C00510,P0260,T014,1,986428.0,0.0,Tarjeta credito,Call center,Completada,COP,747800,VEN052,ECOM
V000001586,2026-05-21,C00105,P0014,T048,2,1663951.0,0.0,Efectivo,Call center,Completada,COP,1165700,VEN069,CRM
V000001590,2026-04-30,C02921,P0422,T005,5,1567715.0,0.03,Efectivo,Marketplace,Completada,COP,1159100,VEN106,POS
V000001592,2026-01-20,C00324,P0234,T007,1,2055120.0,0.03,Billetera digital,Tienda fisica,Completada,COP,1640400,VEN014,CRM
V000001605,2026-04-08,C04013,P0067,T031,1,1277813.0,0.2,Tarjeta debito,Call center,Completada,COP,1033000,VEN054,POS
V000001606,2026-04-21,C03126,P0140,T059,2,573248.0,0.1,Tarjeta credito,Tienda fisica,Completada,COP,362200,VEN089,POS
V000001629,2026-03-20,C00794,P0129,T045,4,1573695.0,0.15,Tarjeta credito,Marketplace,Completada,COP,906500,VEN163,ECOM
V000001632,2026-04-23,C00402,P0418,T028,1,761371.0,0.0,Efectivo,Call center,Completada,COP,586100,VEN079,ECOM
V000001652,2026-03-01,C01196,P0458,T046,1,113395.0,0.2,Tarjeta debito,Call center,Completada,COP,80800,VEN074,POS
V000001664,2026-02-22,C04058,P0162,T015,1,1531596.0,0.08,Tarjeta credito,App movil,Completada,COP,1012700,VEN017,POS
V000001668,2026-03-04,C02135,P0035,T009,1,790569.0,0.03,Efectivo,Marketplace,Completada,COP,400200,VEN133,POS
V000001684,2026-04-10,C01823,P0009,T047,2,882135.0,0.08,Transferencia,Marketplace,Completada,COP,646900,VEN179,POS
V000001697,2026-02-15,C04428,P0384,T041,2,598153.0,0.0,Tarjeta debito,Tienda fisica,Completada,COP,346000,VEN112,POS
V000001707,2026-06-15,C01140,P0320,T031,1,812114.0,0.15,Transferencia,Tienda fisica,Completada,COP,598800,VEN062,ECOM
V000001710,2026-02-25,C01587,P0135,T047,1,1802630.0,0.03,Tarjeta credito,Marketplace,Completada,COP,1270900,VEN150,POS
V000001711,2026-04-04,C02902,P0473,T019,1,2027804.0,0.08,Tarjeta debito,Marketplace,Completada,COP,1225300,VEN007,ECOM
V000001731,2026-03-20,C02621,P0026,T017,1,2468864.0,0.03,Tarjeta debito,Tienda fisica,Completada,COP,1214000,VEN074,POS
V000001732,2026-04-07,C02436,P0041,T036,1,2440374.0,0.15,Billetera digital,Web,Completada,COP,1768000,VEN070,ECOM
V000001735,2026-03-26,C04440,P0426,T011,1,859952.0,0.2,Billetera digital,Marketplace,Completada,COP,625200,VEN151,POS
V000001740,2026-01-11,C02984,P0100,T035,1,1142363.0,0.03,Tarjeta debito,Tienda fisica,Completada,COP,675600,VEN145,CRM
V000001747,2026-05-13,C04062,P0101,T056,1,1896521.0,0.03,Transferencia,Call center,Completada,COP,1149100,VEN009,ECOM
V000001748,2026-05-08,C00250,P0377,T016,1,1707598.0,0.0,Billetera digital,Tienda fisica,Completada,COP,1240700,VEN088,POS
V000001757,2026-01-14,C01239,P0460,T060,1,639847.0,0.2,Transferencia,Tienda fisica,Completada,COP,477400,VEN021,POS
